Date,RV
19970408,0.372096684
19970409,0.55875271
19970410,0.550684304
19970411,1.969942154
19970414,0.692382686
19970415,1.059544987
19970416,0.643300336
19970417,0.760234028
19970418,0.428474722
19970421,1.544416374
19970422,0.903289702
19970423,0.887744394
19970424,0.915661585
19970425,0.479014696
19970428,0.7220962
19970429,0.432721796
19970430,0.885100514
19970501,0.675237088
19970502,0.846670169
19970505,1.091672919
19970506,1.370440057
19970507,1.070554024
19970508,1.94360139
19970509,1.748830546
19970512,0.65415153
19970513,0.80666447
19970514,0.889797035
19970515,0.465631806
19970516,0.558551766
19970519,0.459085856
19970520,1.391268127
19970521,1.017207951
19970522,0.640978978
19970523,0.35870848
19970527,0.926320491
19970528,0.607300818
19970529,0.470028805
19970530,1.038732051
19970602,0.528146757
19970603,0.839318737
19970604,0.686630562
19970605,0.423374694
19970606,0.738371587
19970609,0.42324581
19970610,0.528608156
19970611,0.403636231
19970612,0.459979737
19970613,0.534999599
19970616,0.252192682
19970617,0.595590348
19970618,0.571760373
19970619,0.465766428
19970620,0.23592772
19970623,1.148772632
19970624,0.907389998
19970625,2.054888382
19970626,1.892633992
19970627,1.290948828
19970630,1.542732567
19970701,1.187710626
19970702,0.799877784
19970707,1.090506714
19970708,0.624788288
19970709,1.610207279
19970710,1.466172554
19970711,0.495582103
19970714,0.538410548
19970715,0.929106988
19970716,0.502025038
19970717,0.721551602
19970718,2.688787948
19970721,0.923067895
19970722,1.349663918
19970723,0.946336789
19970724,1.443561044
19970725,0.688896926
19970728,0.649795619
19970729,0.604191268
19970730,0.58213854
19970731,0.590084873
19970801,2.269742223
19970804,0.610871294
19970805,0.482725635
19970806,0.558810493
19970807,0.878943068
19970808,2.993240271
19970811,0.976067816
19970812,0.726977192
19970813,3.53390875
19970814,1.431454432
19970815,2.209279667
19970818,1.73786617
19970819,1.26197877
19970820,0.687562921
19970821,1.679027487
19970822,2.818824073
19970825,1.571887648
19970826,1.434777213
19970827,1.573610923
19970828,3.281232374
19970829,1.381415877
19970902,1.554545722
19970903,0.978580068
19970904,0.734970156
19970905,1.856250265
19970908,0.376522015
19970909,0.784026008
19970910,1.090739211
19970911,1.589601065
19970912,1.026416877
19970915,0.454622068
19970916,0.68846196
19970917,0.629904726
19970918,1.366790438
19970919,0.740838562
19970922,0.835889
19970923,0.435763759
19970924,1.246920962
19970925,1.040708549
19970926,0.548917504
19970929,0.491604282
19970930,1.068192429
19971001,0.948085126
19971002,0.35660669
19971003,1.942808414
19971006,0.386904178
19971007,0.593054738
19971008,1.469019448
19971009,0.779351127
19971010,0.389906332
19971013,0.211797316
19971014,0.569404854
19971015,0.361818235
19971016,1.044277841
19971017,2.529398691
19971020,0.685281345
19971021,0.583359327
19971022,0.622452063
19971023,1.668997551
19971024,2.562974907
19971027,9.689100536
19971028,13.66281129
19971029,4.154436104
19971030,4.362663177
19971031,2.428627793
19971103,0.577046756
19971104,0.807093863
19971105,1.087395866
19971106,0.702454247
19971107,2.850980569
19971110,0.980812512
19971111,0.407229155
19971112,2.450319686
19971113,1.47433134
19971114,1.290174723
19971117,0.726869176
19971118,0.622370867
19971119,0.815923904
19971120,0.569562557
19971121,0.600454928
19971124,0.917853963
19971125,0.791162922
19971126,0.427977658
19971201,0.550295478
19971202,0.523036265
19971203,0.658247833
19971204,0.710352475
19971205,1.205947564
19971208,0.358174731
19971209,0.618611523
19971210,0.670476734
19971211,1.060034585
19971212,0.98979514
19971215,0.499971096
19971216,0.461580493
19971217,0.465098254
19971218,1.131841119
19971219,2.873233912
19971222,1.140021633
19971223,0.998055685
19971229,0.549542047
19971230,0.434254685
19971231,0.438373973
19980102,0.511048184
19980105,1.252612309
19980106,0.811911546
19980107,0.671172414
19980108,0.655273248
19980109,2.751430546
19980112,3.199829516
19980113,0.65941
19980114,0.623309708
19980115,0.516465978
19980116,0.643951976
19980120,0.429879191
19980121,1.22929837
19980122,0.932289736
19980123,1.383420896
19980126,0.596218187
19980127,0.704416528
19980128,0.608552795
19980129,0.880575352
19980130,0.664594951
19980202,0.473988473
19980203,0.384844776
19980204,0.558490673
19980205,1.010701938
19980206,0.609127931
19980209,0.34832088
19980210,0.44985478
19980211,0.287642237
19980212,0.75130697
19980213,0.301570584
19980217,0.420117985
19980218,0.338069547
19980219,0.390524251
19980220,0.504374205
19980223,0.437759824
19980224,0.723203673
19980225,0.426223193
19980226,0.363038807
19980227,0.458772619
19980302,0.558778275
19980303,0.30292917
19980304,0.410406324
19980305,0.466991261
19980306,0.357499099
19980309,0.323765142
19980310,0.319386123
19980311,0.230386332
19980312,0.342649659
19980313,0.438475904
19980316,0.216098655
19980317,0.264684254
19980318,0.209187876
19980319,0.184313487
19980320,0.23017899
19980323,0.266072427
19980324,0.276380279
19980325,0.865263047
19980326,0.366693999
19980327,1.032119211
19980330,0.425112786
19980331,0.541820841
19980401,0.519266193
19980402,0.310279002
19980403,0.610634423
19980406,0.628986536
19980407,0.808013919
19980408,0.864966824
19980409,0.351477066
19980413,0.741950551
19980414,0.24417909
19980415,0.3294348
19980416,0.745165354
19980417,0.285334784
19980420,0.332775478
19980421,0.723749984
19980422,0.403258912
19980423,0.426766342
19980424,0.633854559
19980427,1.84118229
19980428,0.68661016
19980429,0.622047291
19980430,0.400656552
19980501,0.385819223
19980504,0.572318644
19980505,0.620233702
19980506,0.656641034
19980507,0.346132914
19980508,0.749776371
19980511,0.434303116
19980512,0.589362762
19980513,0.620327026
19980514,0.513684642
19980515,0.486004934
19980518,0.724387222
19980519,0.592417935
19980520,0.48172884
19980521,0.474499591
19980522,0.348486369
19980526,0.831776688
19980527,1.925997337
19980528,0.693862437
19980529,0.558850465
19980601,0.912937527
19980602,0.976984776
19980603,0.741473206
19980604,0.6555663
19980605,0.666801905
19980608,0.427409455
19980609,0.30547722
19980610,1.079341292
19980611,1.302196502
19980612,1.887874654
19980615,1.451405763
19980616,1.574548522
19980617,0.832616438
19980618,0.467421866
19980619,0.539077397
19980622,0.44730836
19980623,0.318544322
19980624,0.605044828
19980625,0.696240506
19980626,0.547129245
19980629,0.412926412
19980630,0.448912602
19980701,0.587164386
19980702,0.227102566
19980706,0.309438501
19980707,0.375031986
19980708,0.231357337
19980709,0.355601731
