Date,RQ
19970408,6.64206E-05
19970409,0.000160914
19970410,0.000194318
19970411,0.001641837
19970414,0.000182626
19970415,0.001060551
19970416,0.000239479
19970417,0.000265946
19970418,0.000104949
19970421,0.001258725
19970422,0.000246017
19970423,0.000313618
19970424,0.000320899
19970425,0.000103626
19970428,0.000254586
19970429,6.71431E-05
19970430,0.000273855
19970501,0.000184451
19970502,0.000323792
19970505,0.000991953
19970506,0.00071818
19970507,0.000690754
19970508,0.00163914
19970509,0.001116096
19970512,0.000185925
19970513,0.000261097
19970514,0.000310695
19970515,0.000117274
19970516,0.000193557
19970519,8.79571E-05
19970520,0.002520809
19970521,0.000528764
19970522,0.000161732
19970523,9.36126E-05
19970527,0.000347857
19970528,0.0001443
19970529,6.21159E-05
19970530,0.000335541
19970602,0.000100409
19970603,0.000219019
19970604,0.000158254
19970605,6.37009E-05
19970606,0.000220175
19970609,5.75949E-05
19970610,0.000120946
19970611,4.4153E-05
19970612,0.000111793
19970613,0.000109774
19970616,3.51369E-05
19970617,0.00019179
19970618,0.000211859
19970619,8.377E-05
19970620,2.05252E-05
19970623,0.000901344
19970624,0.000431979
19970625,0.002482614
19970626,0.001784119
19970627,0.000522733
19970630,0.001186217
19970701,0.000593306
19970702,0.00051415
19970707,0.000466059
19970708,0.000110852
19970709,0.001613495
19970710,0.001199016
19970711,8.92892E-05
19970714,0.000132835
19970715,0.000283766
19970716,0.00014286
19970717,0.000251699
19970718,0.005746329
19970721,0.000260149
19970722,0.001613469
19970723,0.000354604
19970724,0.000689656
19970725,0.000154012
19970728,0.000166551
19970729,0.000130164
19970730,0.000136575
19970731,0.000192411
19970801,0.004176528
19970804,0.000143654
19970805,0.000128576
19970806,0.000124499
19970807,0.000345769
19970808,0.004009874
19970811,0.000367567
19970812,0.000266079
19970813,0.008352099
19970814,0.00094438
19970815,0.003648754
19970818,0.000950679
19970819,0.001062348
19970820,0.000127866
19970821,0.001090821
19970822,0.00320391
19970825,0.001027869
19970826,0.000852153
19970827,0.000737807
19970828,0.005672554
19970829,0.000749818
19970902,0.003383762
19970903,0.000319847
19970904,0.000235321
19970905,0.001009703
19970908,4.85842E-05
19970909,0.000351696
19970910,0.000765713
19970911,0.001210259
19970912,0.000381197
19970915,7.1427E-05
19970916,0.000203702
19970917,0.000118377
19970918,0.001229214
19970919,0.000211157
19970922,0.000244124
19970923,7.52105E-05
19970924,0.000820125
19970925,0.000407513
19970926,0.000110935
19970929,0.000153236
19970930,0.000419985
19971001,0.000423241
19971002,5.21248E-05
19971003,0.001498675
19971006,7.44947E-05
19971007,0.00014455
19971008,0.002194252
19971009,0.000234523
19971010,4.31607E-05
19971013,2.23435E-05
19971014,0.000136505
19971015,4.26158E-05
19971016,0.00127347
19971017,0.002425508
19971020,0.000161449
19971021,0.000207696
19971022,0.000130818
19971023,0.00100272
19971024,0.002915322
19971027,0.122331606
19971028,0.134035336
19971029,0.00442765
19971030,0.005955709
19971031,0.001792644
19971103,0.000106644
19971104,0.000214398
19971105,0.000568061
19971106,0.00017846
19971107,0.002862293
19971110,0.000271857
19971111,6.91967E-05
19971112,0.003213602
19971113,0.000736492
19971114,0.000501827
19971117,0.000172009
