iteration,b0,b1,b2,b3,q,r,h,loglik,predicted,var,actual
0,0.003370974928163456,0.9752333124167152,-0.17523651048182298,0.19961305264109294,0.07482877792765252,0.2029816889163759,-0.41907731691473704,-9711.489307974472,-4.200686397158156,0.03342839357685362,-4.71020181893842
1,0.003081653500891712,0.943874785961401,-0.1574256778618751,0.2131762815558153,0.07762877237541438,0.20195992503149013,-0.44141389320806934,-9713.243461201915,-4.390214099925669,0.03439415413150663,-4.3837300602785145
2,0.0037556038249248382,0.9720567764328727,-0.23493020787477498,0.2626783868354271,0.06493315307063786,0.20056568040713862,-0.5068175338015392,-9712.323196970941,-4.356993829863625,0.03485126415216561,-4.241648763542318
3,0.004051661074291387,1.0024711268409556,-0.3162544345850345,0.3136336159786206,0.05273020175610561,0.1984467283470489,-0.5772618092607094,-9711.582242278653,-4.284192147231809,0.035558327630987076,-4.075014005329458
4,0.0041442271014569595,0.9906767036654229,-0.3155111732326869,0.32459233146456334,0.05337748629533215,0.19750124590505969,-0.597408210042553,-9712.101777060445,-4.17998606275215,0.03611435589076995,-4.2801928256599115
5,0.0026486157472180917,0.9142414697887555,-0.047745824431338395,0.13329186088351966,0.10617021110695868,0.20296400317705157,-0.2855929404197022,-9712.54239633347,-4.214010811038585,0.03403385085947358,-4.3709427753686905
6,0.0012129123141610418,0.9358137027399551,-0.04150993787654482,0.10541362348963029,0.11385415454856357,0.20583295894183362,-0.20197710174341899,-9712.583911128177,-4.270842355816971,0.033341601995206506,-4.045672127778633
7,0.0008732556774259321,0.9207323836619279,-0.010943018033344467,0.08964446667891668,0.12900844087605084,0.20471784666165052,0.0695892931469307,-9712.867234537309,-4.167673844239774,0.03340311024792084,-3.9038851491289885
8,0.0017026845250902515,0.9306792089827391,-0.07061359113306125,0.1395646721145738,0.10650440549099816,0.20231677372095364,-0.29158388824590714,-9711.983512016497,-4.055465251581543,0.034740241356657375,-3.927498156218813
9,0.0066118486584242405,0.9675476564602428,-0.10198859646612707,0.13510507199917143,0.09456601224735686,0.20375030705938302,-0.3138967790467158,-9711.274198677684,-4.008084947950751,0.03337833555492212,-4.294566537230863
10,0.0022627021636856767,0.9418756450258916,-0.04884345410515305,0.1066812512358066,0.11370390177154449,0.20463287303996702,-0.19461816636434248,-9711.5639051451,-4.138271572401649,0.03302977667354033,-3.6461562477466445
11,-0.024270558262232622,0.9293225977594761,-0.03625974326685852,0.10073642095061242,0.11281054222600057,0.20438784987426883,-0.22530612666468475,-9712.899063817322,-3.9445746996317936,0.03369885258075928,-4.4770819251170115
12,0.0007655519365555991,0.9349646324949537,-0.021367018903836573,0.08578080593606871,0.12774556272168724,0.20734336252464286,0.04786258597729398,-9715.09882658502,-4.177525013713193,0.03294772464188727,-4.196235428332359
13,0.0035355187183434833,0.9777388777281045,-0.06722679775334997,0.08960220010326744,0.11559230755593239,0.2099607540232558,0.08099072099574191,-9714.53101935129,-4.1892015081099245,0.03176640725401823,-4.468008719758229
14,0.0033631082201526523,0.9970050579663365,-0.09125449877826987,0.09438485082364884,0.10918237299104783,0.21133167702606795,0.09624459905648633,-9714.943590927956,-4.306931497331707,0.0312971543710281,-4.587585172930052
15,0.002076505620843336,1.0362496718269316,-0.28746240260824285,0.2512630080247048,0.06369070298101243,0.21259523378229012,0.17842184565004224,-9714.93451644715,-4.431112694339989,0.030568467758154746,-4.345233812463708
