iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,0.0031914740921212856,0.7192544449503988,0.19727363099164746,0.08276556544100692,0.20001098114525978,-0.15170114877076152,-9700.949250397629,-3.9663125534020027,0.04871815403716258,-3.896914424167244
1,-0.1401229083549939,0.7034255245434167,0.20562581552660272,0.05910123918788293,0.20189238703729312,0.14941056488281035,-9699.460009164535,-3.9471098686710424,0.04895632795858777,-3.81587912822311
2,-2.08803806828239e-06,0.7011061759246466,0.21483149282863867,0.08263669261584426,0.2047377433176572,0.14727407295117845,-9700.438999678645,-3.8602838042713286,0.04997863859467719,-3.8590759557639798
3,0.0007030557102706553,0.6832631075181526,0.23147860552669292,0.08402231637801823,0.2107415056693635,0.14122043057422218,-9700.188167828119,-3.863220444605458,0.05172934268389308,-3.930540197419443
4,0.0007420115078547814,0.691982168255519,0.2233261056489968,0.08341810019448956,0.20755113819511412,0.14403212794690845,-9699.887788822503,-3.899038136596252,0.05073895256495176,-3.93029296358773
5,0.0008572845800995238,0.6892103580665385,0.2249898072443604,0.08457173890086675,0.20878376640937252,0.14286272393152677,-9699.9543280622,-3.903820682330981,0.05111904029840552,-3.8976323560993715
6,0.0010397114877869372,0.6908438520836953,0.2224168158935662,0.0855814797023012,0.20913605533440405,0.14257665989954854,-9700.095903943065,-3.8909689337441695,0.05127331915779559,-3.842349480990736
7,0.0044246844522572515,0.7307108723752378,0.18433860314018746,0.08443803335382923,0.19637129482012156,-0.15320442250830857,-9698.843977913952,-3.8626701586725627,0.04755958117499087,-4.039196355667714
8,-0.13650737788845213,0.7134628612437485,0.19259142154228592,0.0627806253294986,0.19930687286222115,0.15031507906639135,-9697.6540173881,-3.983417810071663,0.04812999390546398,-3.849815628683878
9,-0.13195768657585855,0.7205938526813052,0.18494119539443526,0.06425764471391421,0.19731643800325924,0.1522215705605641,-9697.804017668572,-3.9140262608538703,0.047604372561875524,-3.632496649388576
10,0.00026268195667451073,0.7344689881580323,0.17694553029632668,0.08712817755671348,0.19545909489793017,0.1544902825766835,-9699.411195342334,-3.7612622147036614,0.04735876415045949,-3.5802634958128237
11,-0.11850818091531107,0.7384124127757132,0.16515395945493547,0.06898210659895822,0.19295286121852678,0.15619683640158985,-9698.589309979721,-3.719469051234855,0.046514361794437464,-3.8013024010195475
12,-0.11634629569771697,0.757080846777324,0.14594268644285985,0.07003537955695405,0.1875696268240355,0.1605895473717776,-9698.62662476944,-3.7996937966357938,0.045127592456433475,-3.6794073842469275
13,-0.00045929254538461673,0.7809813929317204,0.12912866908205875,0.08829221467482673,0.18243058672610238,0.16485612072741157,-9699.590517066552,-3.73104540098438,0.044073271553377744,-3.817815675414952
