iteration,b0,b1,b2,b3,q,r,h,loglik,predicted,var,actual
0,0.0737049888879147,0.7268970327386318,0.14910533630166367,0.1385505516441239,-3.6480407637433236,-3.2061692773097725,0.16193350922582556,-9752.455049605369,-4.01440316036388,0.04776173130748713,-3.8551425372029224
1,0.07154465179838614,0.7505099668459766,0.15147893464806778,0.11211751923625199,-3.4905477292851,-3.221029438591124,0.11995521540946022,-9752.085665459173,-3.9162157945217326,0.04815507414928589,-4.120632152620318
2,0.09458746471978297,0.535754205037289,0.296882290526722,0.18637766131440336,-3.1893795189811716,-3.566857741753026,0.17371198636893015,-9751.893107697115,-4.010626839319892,0.059930883282254696,-3.897493842832706
3,0.16377467150946684,-0.16390389651413262,-0.345826043219718,1.543291082776789,-28.029524546839696,-2.9663451088739903,0.24342775807358424,-9755.338553964068,-3.971133810146871,0.03738017327763576,-3.8955475006039455
4,0.08503398458326725,0.6517855016014686,0.23166025778296317,0.1335324121673241,-3.2817741346903526,-3.3846617379659145,0.13936397044638402,-9751.567106838897,-3.9133308706288945,0.054230937688701866,-3.72244202707646
5,1.3077165154436736,-0.5979711554739978,-0.7539327900781341,2.6302880380743465,-107.67540851957486,-2.963418567773043,0.24437899796817372,-9757.82788588106,-3.83824445368381,0.0392468921447898,-3.594577448471106
6,0.07393928099178326,0.8027415985787871,0.07287117409682936,0.13941242025572642,-4.496217012283742,-3.3323739450029652,-1.0120769792262467,-9750.325679363765,-3.7193276053584086,0.05156934302897477,-3.812643372869577
7,0.062033943915924504,0.8397221155110923,0.08030617448495472,0.09231960106688411,-3.5841071972988527,-3.1421274782637223,0.049962737496744625,-9749.945256440868,-3.77422484966853,0.044460108197713386,-3.921370935408492
8,0.12652829246056108,0.7018376208873907,0.07553589430902424,0.24765302107524767,-3.8399587223858624,-3.600454153870638,-1.0921646112653978,-9750.880372370988,-3.8401046515956114,0.060889943395364424,-3.907823712286206
9,0.02519007123350915,1.046511817072441,-0.1506579908332213,0.10893587953373376,-5.34814344956796,-2.9686290215669717,0.18864977497084578,-9749.30865811478,-3.866891179649232,0.033761047631758315,-3.764687961588491
10,0.07162029657312066,0.7941041000719888,0.06095818047781606,0.15925587474765857,-4.625889851271516,-3.315901730830415,-0.9919698846932903,-9747.694713898481,-3.8054735208970683,0.04975473008909901,-3.818172512443897
11,0.2556545329418298,-0.25230581625893933,-0.5034962741337055,1.8088476356038379,-20.967001286604763,-2.971232509221154,0.24162039962812076,-9753.526011730812,-3.8206570992373368,0.036841687359039324,-3.966358507613185
