iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,0.039544202759221825,0.7685972909760254,0.13345843486854403,0.10506911968198558,-3.163645102936399,-3.829435365405869,-9706.363964804686,-3.982669452604361,0.05168404952178016,-3.917193261653591
1,0.05544255869782032,0.7668214891498999,0.13452264262476316,0.10912444534927579,-3.160838881683559,-3.833904902735518,-9706.411957450355,-3.9167190750790897,0.05173730842255543,-3.6708626804339657
2,-0.12963297493846798,0.7616915127630837,0.13269758387184105,0.07610283171414567,-3.1861012928822534,-3.814420286821937,-9704.08457006101,-3.8082763763006255,0.05061285424107364,-3.755616407460903
3,-0.13041484833692724,0.7530925796519407,0.1411453348850633,0.07615691487605701,-3.1508657577978143,-3.8647190256237782,-9703.369301028453,-3.8120468892953534,0.05163524943169782,-3.7995661903279063
4,-0.01626368127721314,0.7461626934710754,0.15227586197249346,0.09654991766594914,-3.116501072721573,-3.916394725710795,-9703.85620315955,-3.8077767497750528,0.05273060195270919,-3.847134222208966
5,-0.1304719391869141,0.7537858574207132,0.13950599701071595,0.07704091185617465,-3.1539120308162207,-3.8658866817427997,-9702.967121535516,-3.856448156015566,0.05150233420053199,-3.6245964818056184
6,0.06240496968533697,0.7508673383808012,0.14944466316403232,0.11175451460458036,-3.1008524012784706,-3.9201159833321007,-9705.608072852285,-3.696750783297261,0.05353896604062257,-3.8929085811393453
7,-0.1211448842455268,0.7786644161258168,0.11424961465155536,0.07938586245459603,-3.22506642905972,-3.7816646771201725,-9702.804853725473,-3.855659304867821,0.04955328068608271,-3.8861697062462754
8,-0.12491732093586567,0.7749969761460073,0.11798445298462851,0.07843837735587345,-3.225316827644236,-3.785800357881544,-9702.450468332185,-3.883715048109685,0.04942939261742963,-3.8206142727666164
9,0.04012334617759472,0.7739472794692067,0.12540434014263463,0.10789052098531948,-3.188423575787224,-3.817634883434805,-9704.13430830783,-3.822690394692982,0.05078969753966865,-3.509783026391721
10,-0.11685779553525263,0.7699974922496042,0.12195487744468203,0.0811290879391407,-3.2029554874545623,-3.804430879743788,-9703.039191993468,-3.681711749650629,0.050130468029707526,-3.6625001310344762
11,-0.11570606857023898,0.7740503032387418,0.11738413746274481,0.08188762040454059,-3.213436196623555,-3.79278824730758,-9703.065974601739,-3.7181592912128947,0.049855545405163876,-3.821917093103732
12,0.07103437324006204,0.8479742933932295,0.06958610331516618,0.09736055344908995,-3.372243095855799,-3.6428400469997975,-9706.013994526913,-3.764349572191065,0.046660877766218356,-3.7763842868967377
13,0.09687968760641644,0.7544406537668786,0.14017528839311083,0.12488720602376716,-3.105377950300084,-3.9108886665724567,-9705.997964978922,-3.757845970799366,0.05344936935624482,-3.732500550184651
14,-0.11870726476355273,0.777501732468932,0.10648009693172214,0.08824410408320793,-3.1983817973585866,-3.7915515631045933,-9702.223109196162,-3.7766611164548203,0.05056275292375048,-3.8853546549235873
15,-0.11894725705697054,0.7684404164401702,0.11979415898225887,0.08419381831331356,-3.203025212968246,-3.802887368120406,-9702.130504387404,-3.85483092838981,0.05009151925928936,-3.961936496266127
16,-0.16917461550572138,0.576310111016102,0.27338095796489503,0.11149786585684582,-2.6255696801437907,-25.65652688693345,-9703.320883658507,-3.920869546004205,0.07239850129798357,-4.002828732024402
17,-0.17214726099260147,0.5759564655206979,0.27588846031215886,0.10878011855426604,-2.62590151999943,-25.93855103534186,-9702.98555415557,-3.954072074491404,0.07237448057487934,-4.03897317988997
18,0.010062713417287025,0.7471369167600914,0.14293437436005993,0.11054825168639942,-3.131077909645157,-3.922792305647631,-9701.851266884938,-3.9649977285346147,0.05201852187176294,-3.8806901859839913
19,0.03478440669900487,0.725175148472793,0.17492349014176434,0.1060930467459486,-3.0793992086888995,-4.011783459250736,-9699.699035975716,-3.8890482150757215,0.05347602005966509,-3.917714922460318
