iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,-0.004566446848123068,0.9597707478343007,-0.054904064276401446,0.09312916053976364,-4.178492126001851,-3.148314115208466,-9711.999503304458,-4.203250742353075,0.0317009289436434,-4.71020181893842
1,0.06818280669771742,0.8776722094327628,0.02488222138025296,0.11140861758055533,-3.8258282016335214,-3.2334578558594873,-9716.18636051924,-4.390025555412983,0.03669792321041021,-4.3837300602785145
2,-0.20485502768172095,0.4355001315727254,0.3843758584708363,0.1337115666938954,-2.5765687453123816,-31.47421200992452,-9716.336564384053,-4.333269985190014,0.07603445050292548,-4.241648763542318
3,-0.08912020661834658,0.9416904845893569,-0.031023445314613447,0.0690357980164287,-4.132749020638323,-3.1546258928583413,-9710.928495291013,-4.306082678924207,0.03203259197962416,-4.075014005329458
4,-0.0017144748384209161,0.936902799530789,-0.023741743665072625,0.08566580264298976,-4.0914222417884964,-3.162208743430531,-9712.44391271534,-4.181730497573036,0.03278978941626416,-4.2801928256599115
5,-0.20256321535782978,0.4329130287942439,0.3897009782020131,0.13147505879239285,-2.578108995496887,-38.1158413129635,-9715.106630802464,-4.295269607089814,0.07591742857116565,-4.3709427753686905
6,-0.09374580792751822,0.9197836023081578,-0.007560699712885087,0.06647724587924503,-4.055539697287533,-3.1707919329112833,-9711.31561854677,-4.287130175171488,0.032904781039344924,-4.045672127778633
7,-0.06262509369727987,1.0019531216400752,-0.08419772449229074,0.0677728487448421,-4.4399403031672655,-3.0932085083026397,-9712.05292509612,-4.179876189115494,0.028579035964765964,-3.9038851491289885
8,-0.08514914199114289,0.9537858393390394,-0.041760754322730353,0.06855433846527118,-4.142618258338011,-3.1565595348737086,-9710.883287339062,-4.071056549870467,0.032244801005165746,-3.927498156218813
9,-0.010025292199262036,0.9724895822521987,-0.05580004750360129,0.08033770599643243,-4.2102774208334575,-3.1441336935941475,-9710.964556880423,-4.008176994437781,0.03163750134277971,-4.294566537230863
10,-0.08943271350868923,0.9368692110186017,-0.026760731524939976,0.06940901079412307,-4.105260311772634,-3.1665485006304355,-9710.339312689483,-4.152736872985388,0.03236777234623479,-3.6461562477466445
11,-0.08473528597725329,0.9429773273749393,-0.03068113203390758,0.06816841855440448,-4.126931716925691,-3.1515427845854846,-9712.073449105854,-3.957199615411292,0.03225777516927622,-4.4770819251170115
12,-0.02390891043620605,0.9526263980117112,-0.03569535637900084,0.07703292825611259,-4.171644652425566,-3.1275186305882334,-9714.514236775036,-4.178029582578062,0.03190756329504957,-4.196235428332359
13,-0.08445071554340314,0.9703417012693569,-0.05621983047767705,0.06657778915164123,-4.227225257115981,-3.1212161327084695,-9713.23428013917,-4.2024783159863555,0.03136158724257501,-4.468008719758229
14,-0.08472343830126539,0.9853337442782724,-0.07172420597209492,0.06707762028712674,-4.2785483423582855,-3.109685265522957,-9713.609768807913,-4.318211099734597,0.030949848334350043,-4.587585172930052
15,0.07303351811851166,0.8980026602823159,0.010633850131369148,0.10680277325044028,-3.8466939073688797,-3.215017200948613,-9718.188588805955,-4.408138846840184,0.037043720188600096,-4.345233812463708
16,-0.2154012478000613,0.43060464212150873,0.39288838223426853,0.12756578425784193,-2.5707171731237617,-1737.8275586675547,-9717.75823069423,-4.363203468669159,0.0764806758655591,-3.8892853686349236
17,0.06612724500562939,0.9259816501923477,-0.018679582290086132,0.10647330253405506,-3.9557937406827297,-3.1796276566632713,-9718.229916097804,-4.137008053634583,0.035494854869188575,-4.318674757916197
18,0.07953403726093525,0.8835820110495566,0.019560756213148796,0.113487182775524,-3.8225182644516504,-3.224675429884737,-9717.904615416246,-4.212698771145896,0.03707773395755448,-3.9524105915002803
19,-0.09935995618113967,0.8996561905673834,0.0014479500104788436,0.07594056893655887,-3.991512049942237,-3.176753481706973,-9713.991437589464,-4.122366990097353,0.033589945835476046,-4.134078193637143
20,-0.040252292670455644,0.9657858385973865,-0.05111905256712923,0.07565286582288533,-4.225384667639538,-3.1240617915151745,-9712.87460786032,-4.127454726183789,0.03122384737939113,-4.257784962524617
21,0.07569456513642348,0.8899794430543028,0.019606490838892512,0.10641072548204715,-3.8415337609192215,-3.22885209648933,-9715.418807208487,-4.179603765997721,0.03678475782553816,-4.127945774049299
22,-0.004640333467367153,0.9950326427014113,-0.07798577719908356,0.08124888981018277,-4.302486600834817,-3.1168302001382835,-9712.21324698509,-4.159929491306746,0.030824272556182565,-4.238962008598985
23,-0.08828791307322686,0.9691243718429644,-0.05875545377476957,0.0693384874674446,-4.23215153055938,-3.1336066380069303,-9710.70423277578,-4.206309903137962,0.031047443547657774,-4.268415624971154
24,-0.2172277664257426,0.4331532453189768,0.3854992202527815,0.13170574060688456,-2.5746802485869806,-44.32114631738726,-9716.503633854509,-4.231449944540936,0.0761781769844922,-4.296016672122421
25,-0.012118690847539674,0.9749621305439887,-0.059245919729520605,0.08094473125110019,-4.237447577058383,-3.138705743322358,-9710.269720450799,-4.248580421935609,0.0311881515819774,-4.054444654505247
26,-0.08832858318441042,0.9608910385247094,-0.05009127623222127,0.0689152833614492,-4.200958683399232,-3.1455907101515717,-9709.564987854656,-4.175547048282067,0.03130517287931997,-4.023850002678704
27,0.14390558541230414,0.7404345832818173,0.15736434754402145,0.13311258638977952,-3.3656067713796505,-3.4598224304102256,-9716.785808647903,-4.083293066066867,0.04553804369477537,-4.263541703153597
28,-0.21277688262438865,0.4304045635752011,0.39157787649355785,0.12947498193013948,-2.5800897788547106,-104.08588523026748,-9714.04761099678,-4.216365099946316,0.07576720142491677,-3.962572634197757
29,-0.08305088640247518,0.9837734779209573,-0.07315000765897128,0.07021676467813939,-4.2856059845011405,-3.1337225816063796,-9708.572839183918,-4.097740512265075,0.03047437003968957,-4.196889867951178
30,0.005065527398615863,0.9871913647685624,-0.0726892450974287,0.08591304743944056,-4.27858850152065,-3.1330857124876372,-9709.891348747136,-4.131886715030983,0.030832325607253755,-4.200448005234865
31,-0.08470839465794938,0.9804682882516034,-0.07153154541344284,0.0715236603899439,-4.280563455303756,-3.134271630289488,-9708.458155560531,-4.176874528622714,0.030430320901213524,-4.143704099223861
32,-0.09340773722745267,0.9764046231701169,-0.06929499715221357,0.07139848855916894,-4.262732016544042,-3.1380876343371407,-9708.393585668384,-4.172102824904062,0.030591731861590785,-4.284233689891978
33,-0.0825979716845009,0.9960112063742209,-0.08771978818111784,0.07266727597156722,-4.339592016207853,-3.12314811278862,-9708.3048158304,-4.223397000729177,0.029913742591861407,-4.227801187323384
