iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,-0.1909706086698869,0.5207777205262624,0.3620358642717751,0.07396455747558214,-2.8965048862104883,-100.47842311511155,-9636.690952096016,-4.027147315139619,0.05521586894034146,-3.8148294947674177
1,-0.11606956388149073,0.8331459781283614,0.10747346904426555,0.03301545587361859,-3.8735003919623017,-3.732228224013398,-9632.556531333958,-3.933891920617074,0.030548919335109864,-4.002432432072645
2,-0.11697012746562002,0.8375419406955718,0.10363634226301177,0.03231105642524676,-3.885093682189776,-3.724490323180744,-9632.583864836966,-3.9910625119837237,0.030421930811985444,-4.155297774711728
3,-0.11991565985614157,0.837134293888753,0.10378889185119655,0.03197258168655315,-3.880598941169449,-3.725272350447225,-9632.843561574244,-4.08404845301896,0.030512906251430764,-3.6866443845790284
4,0.008130594311259922,0.8253972819696427,0.12425908888214159,0.050977145184026164,-3.8244167611520643,-3.7460123253997812,-9635.598530438374,-3.8736931015357845,0.031546434138574525,-4.102194645982916
5,0.010339578593039463,0.8285190470164345,0.12117413367011631,0.051500463339721164,-3.834963484819319,-3.734664435927706,-9636.144455132038,-4.001779482864579,0.03142928040483901,-3.9837780694991967
6,0.009958443015110825,0.8508162069570133,0.09994616630204765,0.0504307828003984,-3.890250891382916,-3.7056140621843543,-9636.07536656532,-3.9936228699979495,0.030784472974913782,-3.729732430465786
7,0.009852970613036811,0.8644148701575023,0.08817765724403806,0.04852416021663465,-3.935558639272526,-3.678199357587137,-9636.765494220519,-3.867530788876579,0.030240100679841085,-3.8394209447495
8,-0.11664152833217123,0.8407271917857608,0.10447834974460579,0.028146047692261866,-3.913758062746605,-3.701704558534688,-9633.748025799887,-3.8886320897363276,0.029996289928354892,-3.8723431201225873
9,0.0099376004733327,0.8446792171862837,0.10621603952536143,0.05011758890089235,-3.8851047212127687,-3.7127664536062692,-9635.628971456093,-3.8786436953672907,0.03072216414630216,-4.04087097941966
10,-0.10913522354535443,0.8957214260690443,0.04800408485871614,0.03142905767405661,-4.055802946889086,-3.6389829889256644,-9633.781863570952,-3.984293344070948,0.028543465952876015,-4.0635229053363915
11,-0.10455507797017644,0.9273868965434049,0.01430866481186652,0.03441272730731575,-4.190621482600877,-3.5952231403898596,-9632.354937721719,-4.031695514774467,0.026910531807740785,-4.103258240000887
12,-0.10371303058426173,0.9369849967459136,0.0028766752791402938,0.03643055299394189,-4.2256446332985895,-3.5835809438870783,-9632.29991775208,-4.073705021148773,0.026560236578610258,-4.509000422099762
13,0.008646614162697063,0.9065801136341813,0.03329920188392968,0.060986197452669755,-4.070857028103012,-3.6357741875068434,-9635.307611134518,-4.259908542027921,0.0285034709321706,-4.224677824618099
14,-0.12547566149124417,0.856917795234627,0.07652861138995481,0.03794530854057093,-3.9658394462870454,-3.6873589904871222,-9632.763381904828,-4.236077942707404,0.029195373472720252,-4.132928133357288
15,-0.001957201189904104,0.8916464217768294,0.05100250478916578,0.05595165748794362,-4.043801226036955,-3.650586744362257,-9633.449516623268,-4.160630455226565,0.028620628994593562,-4.141980169724861
16,0.014239783589235458,0.8851841347986391,0.057517850106539065,0.05948204593154996,-3.9998985445868147,-3.6702192901997073,-9633.70656136743,-4.137397094579966,0.02927599382794286,-4.33436895112035
17,-0.0008090781851993131,0.9058604785743524,0.03804038159827914,0.05506947165263378,-4.078870430135218,-3.635471184180522,-9633.532450074403,-4.223237593112211,0.028343889849919778,-4.238250830866561
18,-0.14807814883311887,0.8377167850482585,0.09462514734952637,0.034104300557321346,-3.8968792960747427,-3.730321600798934,-9630.988556954399,-4.23932883974052,0.030058757647413288,-4.271494035666589
19,0.02674421795307298,0.8616203678018433,0.08049847026388154,0.06286653183503446,-3.9096460673233886,-3.7192520742271373,-9633.227420180365,-4.221459565877992,0.030426137191764013,-4.711281788536671
20,0.1100943953077442,0.7652743414947517,0.17505151984226747,0.08302582835999245,-3.53803478790789,-3.954328623046158,-9638.869797673131,-4.4452389950758615,0.03696875038845376,-4.562078425729128
21,-0.023881814599489043,0.9342730626921553,0.010023433887439401,0.04976765459334115,-4.17920976941771,-3.5957977451807306,-9633.934293963464,-4.475290433720329,0.02733090957973873,-4.406334519400458
22,-0.022752834872857276,0.9311937892878671,0.011098416089984227,0.05196655312133655,-4.175012897800153,-3.597665272983226,-9633.818319224923,-4.416472204812346,0.027306682856981748,-4.343422659357049
23,-0.005323091943958192,0.9257006810200787,0.014328885788255193,0.05804839414988701,-4.135216872825651,-3.612414840967887,-9634.272061101672,-4.357094987301628,0.02783270347173069,-4.365007241555059
24,-0.12436712420834947,0.8986719665203049,0.032457033154322454,0.04064275994869966,-4.08131757095585,-3.6372885548784986,-9632.258028448443,-4.361629250233045,0.028012868885900197,-4.2812981476277265
25,-0.023448921773410243,0.9064932389235004,0.030214307897027008,0.05731930508873748,-4.091831521485499,-3.6309651181791156,-9633.444819824219,-4.302576645683934,0.02807694760305407,-4.185718863610019
26,-0.13093812453238546,0.8568898096931381,0.06993494149829885,0.043370021219856864,-3.951171402393392,-3.6965916062299673,-9632.019757795128,-4.2544235436375075,0.029424419034813576,-4.073224768229423
27,-0.12975371237982958,0.8522272162947665,0.07524374665054398,0.04298960678129048,-3.932840959611953,-3.7046729021452256,-9631.62208800188,-4.174048764251704,0.029687208993128142,-4.4565595963589155
28,0.023478575768013942,0.8505387161295019,0.08720893060982124,0.06671739878373725,-3.8758681453223716,-3.7243090550862155,-9634.548281408013,-4.307301617678122,0.030920890983914276,-4.22173170964067
29,-0.13195700989954612,0.8478751757023851,0.08116796082739389,0.04098955692774119,-3.926508607786813,-3.7044601295327015,-9631.794129846536,-4.269109153330681,0.029746707763495896,-4.2849167222582025
30,0.010749725944165116,0.8420065945014714,0.09662137628570963,0.06303582155938112,-3.865381007679802,-3.7337360656456937,-9633.49290303172,-4.265312245883473,0.030924788429389966,-4.354368536041984
31,0.01095105147020396,0.8154682616256057,0.12225675808925485,0.0639312942184219,-3.794865122913746,-3.7789660235414453,-9633.04942860698,-4.30502860905276,0.03180219318272219,-4.516964656175368
32,-0.045050985594728345,0.8589693714965342,0.08024049035324188,0.05023313779731474,-3.95178238408083,-3.697515084993436,-9631.208607695895,-4.406186083047026,0.029527707954137537,-4.420082371432855
33,0.018758227088727798,0.8375905511602119,0.10146210928197696,0.0645513767597227,-3.8315018539889456,-3.7598368426081414,-9632.755587947662,-4.3968135927945635,0.03148117855331543,-4.010537797799561
34,-0.0927701122668506,0.8886035164346293,0.046790733527881725,0.04341981560567278,-4.047087023390219,-3.6474893358319447,-9631.932820358083,-4.214803516740302,0.028446815038998843,-4.133048466608005
35,0.02161121119900176,0.8691349947551334,0.0694673223575597,0.06544602145827716,-3.939272571583132,-3.6965745898417857,-9633.596164169367,-4.177781403720703,0.030052267582514183,-4.0861023164120835
36,-0.12839758423911943,0.8664182841199703,0.06235397946881542,0.04191209486308017,-3.9889792076703285,-3.6835668993071864,-9630.502735225185,-4.157200516116323,0.028894263636284414,-4.016791849534384
37,0.10345391584365168,0.7788699570609567,0.15467836594063017,0.0884180711214141,-3.606134525593807,-3.9064416025107183,-9636.239807774504,-4.088971510065657,0.03542111755288635,-4.1359037473303975
38,0.08728553054386094,0.7891163502084602,0.1453368581293063,0.08401572536331123,-3.6412420510080485,-3.881338575566781,-9635.3533397881,-4.124333422129594,0.03475273316390634,-4.234235272169688
39,0.028990888195271257,0.8561584503684918,0.07955968850475847,0.06989436398076684,-3.8949785831401895,-3.7246706794231077,-9633.100972497868,-4.1854604833038005,0.03057817490925338,-4.287759919715786
40,-0.13839082691768106,0.8393656827081781,0.08855898387205653,0.040544646793228556,-3.9060684403525414,-3.7203394161775694,-9630.140230297367,-4.2456607757951845,0.029922786707330645,-4.373931412131512
41,0.17122478556454945,0.6784344158802273,0.25055487193699666,0.10817495701680319,-3.293509183405604,-4.2732010716059,-9638.544461925538,-4.284158311979281,0.04240042803772155,-4.244696080630259
42,0.03430661589623302,0.7919096572855571,0.14742647224654304,0.0675071585269016,-3.7178806518714813,-3.831816282448143,-9632.766945114177,-4.255743607010396,0.033012446649701335,-4.205999648838687
43,0.031055368462755265,0.7997249222610487,0.14276070148759,0.06379844671885829,-3.72859017868734,-3.8430634962799948,-9630.037719313908,-4.228984859848173,0.032820325649287434,-4.014615092885257
44,-0.14340998942934413,0.8112565847380624,0.12375548021752,0.03238132858275636,-3.821520328185302,-3.786916061346359,-9627.539314659874,-4.141579326016697,0.03097333388847983,-4.2537913777276595
45,0.024497414611479744,0.803733416417479,0.1394123339674937,0.061565950130606825,-3.7570196720368303,-3.8229121966563073,-9629.959287998769,-4.201505802139284,0.03228223115447964,-4.464725096198647
46,-0.15095531725056277,0.7983934267733437,0.11951713342745496,0.04803820442637825,-3.808827732640741,-3.8284410118662864,-9627.865298480257,-4.341794262509499,0.030701610162087577,-4.496130974027597
47,0.018800963361795438,0.8221809962940682,0.12066988969746098,0.06076296223740166,-3.7959614237480066,-3.796512067364251,-9630.43544422609,-4.392075119355808,0.031821417165726236,-4.430962719822471
48,0.03248752772315349,0.8127969884942552,0.12795998459450317,0.06577378446422544,-3.766484445475424,-3.8304344556368757,-9629.06806696296,-4.386375803884441,0.03215672079476119,-4.578225830572159
49,-0.028751228644373267,0.8422986467794238,0.10016855394480978,0.050525164337839074,-3.8992016215674123,-3.753167275977538,-9627.50692449435,-4.471077689529416,0.030013587659367333,-4.751806036027587
50,-0.15331975675435924,0.8241900229519297,0.10926377585546887,0.031972907483931806,-3.8163389571500934,-3.819691910163348,-9624.913792351119,-4.6028219293429755,0.031143027376502486,-4.598238755755846
51,-0.15295546275186553,0.8252871092298169,0.10807997261973126,0.03201899678616283,-3.838468636396911,-3.816924642382461,-9623.327482523822,-4.5746484858958985,0.03063935602875254,-4.819597276053286
52,-0.0016692863291503613,0.8682614948948978,0.07639335467800351,0.05455291458812748,-3.9254954658331185,-3.758633083914965,-9626.209517341094,-4.6743942033329935,0.029938979742002242,-4.692454204523268
53,-0.14660483833525056,0.8633386987261238,0.07157415072513729,0.031949550343476726,-3.947012244845461,-3.7527935853084466,-9624.037175686952,-4.661539579029899,0.029319651272658814,-4.881473830101075
54,-0.14734445398362214,0.8657728549218393,0.07064541185841666,0.03028092474765054,-3.9620081305562365,-3.745230434094383,-9624.146978742197,-4.7497651735404025,0.029095487890371592,-4.918803828370788
55,-0.08979993509886418,0.8852276364390841,0.057439859410336094,0.03687692238725422,-4.033728129271589,-3.7113548574987067,-9624.48834828467,-4.804712745346371,0.028240339595693525,-4.43548231233865
56,-0.25088314350441027,0.5276695295450913,0.3551313115538969,0.06046254856153546,-2.923796099672119,-170.15995863038665,-9629.46241861543,-4.566680255981059,0.053729337758689065,-4.037591403505284
57,-0.15697517259564356,0.8334797094090404,0.09418230724085067,0.03670869290563801,-3.814515777604987,-3.8151532749561516,-9626.831767139902,-4.311276386970509,0.03137859889086864,-4.02050482940782
58,-0.03779382245055965,0.9043340925103434,0.01715661391000406,0.06901732682436594,-4.058227483646426,-3.721196773535618,-9628.541797409946,-4.169379677907574,0.02798617419057947,-4.177894302824909
59,0.010007400243567383,0.8430959578329257,0.09137589419270745,0.06707724445894625,-3.77903577386789,-3.839463974406259,-9629.092713656708,-4.210225550835148,0.032355876166199296,-4.422601358381501
60,0.024817119461101385,0.8167947375445797,0.11735728554708796,0.07074604301910278,-3.6954445899396835,-3.893772740306874,-9629.876680234005,-4.339001804618528,0.03368397754464173,-4.344046189341964
61,0.026612903613662253,0.8164511367581421,0.11792611365915612,0.07094627181314876,-3.6915060804341695,-3.896456033722904,-9629.877216244591,-4.33447755141594,0.03376887287336415,-4.369282855861898
62,-0.01435794638997211,0.837924141661358,0.09639246694659943,0.061902585697450094,-3.776816309533479,-3.8402310312835835,-9628.649735230405,-4.352707011667867,0.03229829723486303,-4.351460860622995
63,0.045952305051739126,0.8004369412886525,0.13369431618015418,0.07552182663636067,-3.629559704066204,-3.9460682053289933,-9630.332430994773,-4.3510790914566435,0.03489228457234235,-4.337096562205709
64,0.02311669756826016,0.8124527163259407,0.12171213692212707,0.07035939363092006,-3.6836173229986535,-3.9056584353475827,-9629.566082845882,-4.3483926435444795,0.03384871963955115,-4.4578537284415924
65,-0.022208502276101123,0.845428844366376,0.08808186307737029,0.06099371291556147,-3.7941636839209147,-3.8337752645426377,-9628.117586883376,-4.410812051288499,0.03204970205327217,-4.312909038593607
66,-0.00562767668568292,0.8477566485097099,0.08656513218976862,0.06381315622130511,-3.802174895473323,-3.8278925344125714,-9628.38567437857,-4.3591915847680225,0.031940487917277376,-4.478254041016667
67,-0.0304220263664691,0.8683186809146283,0.06445592086353989,0.05981369014946637,-3.883922548234615,-3.7814078433656406,-9627.779678411778,-4.425821846367767,0.030690802406177893,-4.1499713792689885
68,0.07552020322826627,0.7958489530636199,0.13675980351658518,0.08358039986101037,-3.586322951587377,-3.979313079328332,-9631.83003889622,-4.275991185114466,0.03586648502183236,-4.699269923283495
69,0.013287512219925201,0.8577039229963858,0.07483872439872352,0.06982447350584457,-3.828807148215742,-3.795832484979077,-9630.985132690528,-4.510333094170148,0.0317000302763607,-4.487984669209212
