iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,0.027797896477584703,0.7983025051334312,0.10997716431529869,0.09688638717895906,-3.5279989392367943,-3.540719198311861,-9692.903736008811,-4.414620329354327,0.04067951050713227,-4.392080384830504
1,0.0060402420805193155,0.7984798382689172,0.10984014674161668,0.09214247006147495,-3.546271046744522,-3.531893608831021,-9692.19610584067,-4.368347210139555,0.040154324824007055,-4.069078736260599
2,0.03788935010294106,0.7721193912800932,0.13361303193083474,0.10150560782069476,-3.4577728144143833,-3.584420978988508,-9693.332826991624,-4.198288806382613,0.04205371551297972,-4.070335801261055
3,0.018885925503462096,0.7783365771822841,0.12830716547122384,0.09657823971427186,-3.478067973354501,-3.5771761980718906,-9692.058366101983,-4.14543609220229,0.04156296391124106,-4.170989272736955
4,-0.15014747510555487,0.7757383103830267,0.12390419199588654,0.06713341707274467,-3.5072333273328087,-3.5620190667933853,-9690.113617590518,-4.1936637582972,0.0405704226424104,-4.136178016074947
5,-0.1489956362936557,0.778493913454305,0.12092463913427212,0.06761260276505346,-3.5109183263667,-3.559850226863194,-9690.155860922509,-4.175890783435306,0.040529830724757424,-4.041444794621006
6,-0.228571969595324,0.5051574952873332,0.3179461228849345,0.1262031429443723,-2.6591752567951623,-389.4208031192362,-9693.89048021411,-4.105534344194663,0.07000593486120872,-4.133862763773835
7,-0.2294024544407917,0.5055569368892538,0.3170120470198861,0.12654513744280055,-2.659240082558391,-426.1351027144231,-9693.920369012081,-4.149556613307598,0.07000139682014339,-4.194847604566507
8,-0.14812692393250687,0.7782242411841946,0.1208049708481785,0.06804698715217361,-3.5173377199460636,-3.559265811226286,-9689.785430680433,-4.179627907143135,0.04031350189913887,-4.1722625084934055
9,-0.14754850257941912,0.783670823864154,0.11761288114353305,0.0660100649154376,-3.5309083280114795,-3.554050877595353,-9689.053826300858,-4.1822525847774745,0.04005246326098993,-3.9086867438455473
10,0.062317118352157405,0.7614470274221907,0.14461253333090374,0.10647259070310808,-3.401361144631724,-3.6358889375556194,-9692.620698971297,-4.024287971892427,0.04342280033365293,-4.009723646335246
11,-0.04797336004369996,0.8119435925706731,0.0986951673893095,0.07816171503541346,-3.608558788908508,-3.500790127239205,-9690.295691850668,-4.048246183052183,0.0387829991722692,-4.258579782511266
12,-0.14415231257916594,0.7948126544728411,0.10606336697265628,0.06698155653450008,-3.5604720977235065,-3.540250090919038,-9688.979481906394,-4.178178612870417,0.03947640868410676,-4.020248752552363
13,-0.22498265233511439,0.5058475412368638,0.319659854787203,0.12440612009726157,-2.6628727956431533,-13.149060100511884,-9693.063242692278,-4.087550388019111,0.0697481129502777,-4.357730180228704
14,0.044200561999833014,0.7792691051914702,0.12876000960139333,0.100620706686968,-3.470249504208769,-3.5846168635734985,-9692.200838245379,-4.213661041765375,0.04180755293604307,-3.968496118911795
15,-0.2271665426883097,0.5031073198631878,0.3238300604524318,0.12244288715441892,-2.6602642153733047,-11.503252390646747,-9693.950107287184,-4.084475477453122,0.06993257188446897,-4.426366388466709
