iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,0.04086463890083099,0.7349475964079137,0.1863527334690147,0.08581576286075601,-2.9764247477920023,-3.624414361235318,-9752.557897131623,-3.8387340884843524,0.0617024453400037,-3.648061193806448
1,-0.08239764885641426,0.7416308503808287,0.17516739281226146,0.06460707186750081,-3.074809222777753,-3.5728010360968643,-9751.028789064607,-3.7557139765375185,0.057239235832697244,-3.743343636229674
2,0.031230682287288775,0.7276217899252779,0.19277360982163064,0.08457336094330091,-2.956431966158904,-3.652213195213198,-9752.53706021522,-3.7363155854432293,0.06236563736683172,-3.707729093318405
3,-0.15967367749693448,0.5569582459285051,0.31256424845442676,0.09411988536572223,-2.4277346692039883,-41.60119433430689,-9752.439292623638,-3.767545833250636,0.0882364911914199,-3.749222655561136
4,-0.11697089551778159,0.7452811877626779,0.1711581461982286,0.05684469657527773,-3.0385502184351276,-3.562232309936495,-9750.74952070063,-3.7747790716799137,0.05922094976858974,-3.521567124967769
5,0.012142255607593407,0.7535628559635839,0.1682485513184136,0.07905019021518603,-3.038627476637373,-3.5545832514249045,-9752.32428967407,-3.624654408024189,0.059543303550830845,-3.741325061858937
6,0.013797554531953173,0.743680356967772,0.1772864575633059,0.0802420906108069,-3.0122249732057815,-3.585345408737071,-9752.273612202262,-3.704934936537218,0.06036604320031615,-3.6513738390238544
7,-0.11471542521647768,0.7407465338016173,0.17597320170291425,0.05696945291231464,-3.0301688154213124,-3.569186778606621,-9750.910099708508,-3.7084373433172613,0.059471513306745286,-3.8031925188710383
8,-0.11706953885302043,0.7367470877423374,0.1788506240685186,0.05753160675311162,-3.0175934374335456,-3.585171816783614,-9750.93632480899,-3.778605610589555,0.0598727624196899,-3.6069448545980354
9,0.027660732038035846,0.740568563747316,0.18127656451552787,0.0814751903795986,-2.9898680613184663,-3.6073258656579004,-9752.75732408594,-3.6558906334707264,0.06127368214416996,-3.5316494527685274
