iteration,b0,b1,b2,b3,q,r,h,loglik,predicted,var,actual
0,-4.421342337582486e-05,0.6726895316633053,0.2372788142162055,0.08870876316860081,0.12928996173803892,0.13706723711999041,0.25251648982387265,-9700.158418814279,-3.9650235336420008,0.05250455055197998,-3.896914424167244
1,-0.0002805352153922952,0.654560798185203,0.2548703595777776,0.08914608923182207,0.13213839850266157,0.13491271395714494,0.25251648982387265,-9699.948128882135,-3.919052367210881,0.05300282230261245,-3.81587912822311
2,-0.09205226778493586,0.5188524317718322,0.38506664945818336,0.07457737512970944,0.1657309641343624,0.10389923536449805,0.25251648982387265,-9699.195838365402,-3.8819238619684744,0.06048122790049035,-3.8590759557639798
3,0.002589942155543091,0.42638982915089785,0.4475363033932714,0.12496974138546271,0.18896266954521257,0.06212995261116625,0.25251648982387265,-9699.146819936392,-3.8630932550460053,0.06717422008618762,-3.930540197419443
4,-0.1003390169051823,0.48817274341311157,0.41604716018856464,0.07241636953697289,0.17321284264569822,0.0926464937627943,0.25251648982387265,-9698.517960484485,-3.920466256956435,0.062419457271085554,-3.93029296358773
5,-0.10779165539646399,0.4492474935191195,0.44567249908093753,0.08002416677461865,0.18421266492849428,0.07340743713783054,0.25251648982387265,-9698.486345532372,-3.9212741111063356,0.0655632979426555,-3.8976323560993715
6,-0.11561195810736352,0.41650181763215577,0.4676561242735866,0.08904236362131568,0.1967187247080615,-0.03937446177775031,0.25251648982387265,-9698.627860091954,-3.9095066525864977,0.0694453877508704,-3.842349480990736
7,0.004148995277901959,1.3512338867367233,-0.41708408987388335,0.06637339494669234,0.005738033727530558,0.1721125042996345,0.25251648982387265,-9694.029118986782,-3.8518239443051328,0.037650721068677555,-4.039196355667714
8,0.0035142802905045456,1.3498213743577472,-0.4172669816797826,0.06783895645839252,0.00532465259667656,0.1720670432311463,0.25251648982387265,-9694.163365709614,-3.916994679999537,0.03757110348322133,-3.849815628683878
9,0.004565380368012891,1.3494552752221056,-0.417965451459851,0.06913679459101262,-0.005184961963120417,0.1720284210710728,0.25251648982387265,-9694.512801293553,-3.875199212418236,0.03756869970073379,-3.632496649388576
10,0.0008168081648988313,0.5737694304605772,0.3179231927766581,0.10683420680116223,0.1493494730064541,0.11957358694186315,0.25251648982387265,-9698.727629784287,-3.76124173639007,0.056485275395555076,-3.5802634958128237
11,-0.04364119312828578,1.1104659590678467,-0.19174815263675482,0.07089880395164935,0.05059099582831185,0.16663755642379197,0.25251648982387265,-9697.404089125515,-3.7198704602598585,0.04207762047493389,-3.8013024010195475
12,-0.025445299832876807,1.0927726616911277,-0.1817390956581067,0.08250919319210362,0.050130159112807694,0.16683240889488365,0.25251648982387265,-9697.22147773404,-3.7712360446686453,0.04178175495238851,-3.6794073842469275
13,0.0022346960194962414,1.071411647574858,-0.17115214441931337,0.09929913340367721,0.049158008270406034,0.16706978773019682,0.25251648982387265,-9697.368676593229,-3.7309650158255434,0.04146457046300073,-3.817815675414952
14,-0.006516762981456476,0.9190361138783978,-0.044476206318401754,0.12273051606106557,0.07573134770531073,0.1596124246738882,0.25251648982387265,-9696.816685430045,-3.7834931186846656,0.04407380999140521,-4.053820658127551
15,0.0018855932396170962,0.9142872707227957,-0.04586456565085111,0.13081255790731167,0.07728049652478422,0.15913683885199154,0.25251648982387265,-9696.753932224216,-3.908586363762849,0.0443347791877797,-4.061642367227592
16,0.0027177894197056587,0.8982033376709497,-0.02576104118943865,0.12707033024674724,0.08331226320643284,0.1569121726056511,0.25251648982387265,-9696.51299932353,-3.967838364638833,0.04521017265183651,-4.032476702183681
17,0.003391717990883056,0.8052356109865608,0.04738356192199479,0.14687095766320224,0.09975737200026155,0.15035212792538294,0.25251648982387265,-9696.399430265265,-3.977058108354863,0.0473168905095019,-4.160050627347695
18,-0.05818963101439379,0.6905132977282804,0.16363122783976708,0.13166269305294281,0.12541966648126818,0.13640621688725124,0.25251648982387265,-9695.733518062822,-4.060300647417311,0.05140132934108404,-3.9035880875220426
19,0.0010509848263645983,0.5126443195661929,0.33745852176525803,0.1486104522240228,0.15712181734132927,0.10819832504193022,0.25251648982387265,-9694.74235748465,-3.9541489039419853,0.05806666813831356,-4.062261618065039
20,-0.11645431217263191,0.43241188775356665,0.43609044661276625,0.10454243002744959,0.1832676786886181,0.0683881942501744,0.25251648982387265,-9693.524513396353,-4.0310945225039125,0.06507371491828365,-4.066860166969576
21,-0.11771252277804899,0.43648971640878054,0.435041115753552,0.10125704759613224,0.1825467665322388,0.07016700914390395,0.25251648982387265,-9693.611158487889,-4.042093100652687,0.06485660469654425,-4.109560465171155
22,-0.12981223251004315,0.4283572781708461,0.4440029917816039,0.0978777709662206,0.18747991786017676,0.05898950148796711,0.25251648982387265,-9693.559963369013,-4.071263427554011,0.06632521526174817,-3.9861511080870375
23,-0.09604553070357094,0.5594706837194429,0.3433921947597792,0.07477458453841145,0.15297085257577359,0.11173327845208722,0.25251648982387265,-9692.178904968372,-4.0155923648402485,0.056902242487221026,-4.327102298823512
24,-0.12852924073890445,0.4805167789455175,0.4218152582455956,0.06831528229200715,0.17134713994110506,0.08849183116203914,0.25251648982387265,-9692.128153370217,-4.183277016231156,0.061553668216127906,-4.06774283118879
25,-0.13159676143490406,0.46509074484432983,0.4305387651938593,0.07433254918426546,0.176884972027878,0.07967711850292833,0.25251648982387265,-9692.254708944627,-4.09789635196018,0.06310168525877945,-4.146253814411386
26,0.001014633010707984,0.5222930160815196,0.3716290244305777,0.10504621265141313,0.15746779154361074,0.10525553271995741,0.25251648982387265,-9691.966701175403,-4.1026437927295065,0.05801470545529819,-3.9903304869823266
27,0.000938414893443665,0.47689292148550255,0.4067299470047796,0.11528774421914642,0.17060084395999037,0.08769298336216791,0.25251648982387265,-9691.965803726831,-4.03220169128079,0.061416519966476596,-3.9224335611250107
28,0.0007903363591217952,0.5504515846451525,0.35871716482211036,0.08965845767972139,0.1501349813900316,0.11185566209699857,0.25251648982387265,-9691.00161934227,-3.9809671139947063,0.05619228908059286,-3.84836298105503
29,0.0008489453242690062,0.5196754168205475,0.3851080636366907,0.09398657730618344,0.1578810781315528,0.10346360533450646,0.25251648982387265,-9691.250915688332,-3.917233160577323,0.058048691557081436,-4.10272282441336
30,0.00022041797915781946,0.4977374589537685,0.4057425337189208,0.095178843529376,0.16411277004848057,0.09613537588952493,0.25251648982387265,-9691.763590663822,-4.019634252289358,0.05965672361804554,-4.035575353793081
31,-0.06302194154453877,0.8373326682202157,0.10999382339912218,0.0378253403624632,0.0951539611568871,0.1481444268826333,0.25251648982387265,-9689.868727183457,-4.029338326594144,0.04635711170566072,-4.108453743077271
32,0.002601283662992617,0.6806523829981008,0.24546955797279324,0.07324945391367854,0.12335548257743248,0.13302078727211208,0.25251648982387265,-9690.448954293855,-4.047756576268062,0.05072867084126391,-4.031229848794229
33,0.004769658690684799,1.3497615085469996,-0.409825044079866,0.060757720541567375,0.006797848907264538,0.16726200989309759,0.25251648982387265,-9687.812587389257,-4.006411633074267,0.03742998945644385,-4.104158064322905
34,-0.0011749982074899462,1.3458160633804939,-0.4071015630920959,0.06066255843183249,0.007584550444595025,0.16744010928985403,0.25251648982387265,-9688.173997277132,-4.035811500388223,0.037485519607018354,-4.341958890143676
35,0.00173216361274083,0.5130675212445037,0.3860586479249926,0.09991420701659298,0.1650828028080319,0.09291430230717146,0.25251648982387265,-9690.354687981204,-4.194334703790385,0.059784158234357704,-4.337402900645627
36,-0.04803372892902397,0.9917435857106627,-0.057440418805052365,0.05427982261897035,0.06927628511339454,0.15471167661697566,0.25251648982387265,-9687.055213592008,-4.246507664116886,0.0431563788179243,-4.197093318726331
37,0.0014052386734611424,0.5121024707998785,0.3689297931930897,0.11788761916632917,0.17567724572158772,0.07223321878351523,0.25251648982387265,-9686.819816326479,-4.1825633399690725,0.06236553763467746,-4.068617856108777
38,-0.0662966058306324,0.849715850390566,0.05856854050657381,0.07595566712014554,0.09873872326452007,0.14064776052473454,0.25251648982387265,-9683.485517476516,-4.126644154841191,0.046563137098529335,-3.8820398755949492
39,-0.06677239802180787,0.8209174642161334,0.08426851293061505,0.07891082721611334,0.10573994402261108,0.13744851328382274,0.25251648982387265,-9683.411105621264,-4.005183017210953,0.04763771777162387,-3.9184757532476877
40,-0.09094380792773968,0.6721450470978036,0.22033271124079024,0.08612124214481079,0.1396021332500708,0.11503971342352604,0.25251648982387265,-9682.986899254922,-3.9844553634794417,0.053556886136926565,-4.082650612139773
41,-0.08954318915054055,0.684877221928312,0.20665364484478788,0.08739763658469403,0.13563193762889691,0.11818320659137402,0.25251648982387265,-9682.814827918928,-4.052250306123128,0.0527332766641998,-4.222934248866494
42,0.0022260093223371957,0.6585795745207261,0.20332831406291896,0.13722408394447488,0.13711297303006076,0.11589865467120858,0.25251648982387265,-9683.1019306517,-4.124177773191255,0.052999258927000095,-4.256104191017626
43,0.001443816383155378,0.5298987417660269,0.3192122769414225,0.14984582629202825,0.16863780236969964,0.07888988278649839,0.25251648982387265,-9682.148153184402,-4.164846679758744,0.06023036732134687,-4.257884399658097
44,0.0012217228232635365,0.516398711518012,0.33267549859354945,0.1498764868794174,0.17265626589750627,0.07203922447699741,0.25251648982387265,-9682.194368771237,-4.191294806504962,0.06130461686903531,-4.183967270064192
45,-0.12059074785262433,0.5789919330038367,0.29835631004340113,0.09467550730918833,0.15961644786334522,0.092254929255388,0.25251648982387265,-9681.155912098093,-4.186064880953643,0.057807293112855755,-4.084071740201166
46,0.0015221681037343774,0.5196829513655961,0.3260689398140132,0.15321233846031512,0.17055138422814883,0.0745115886913339,0.25251648982387265,-9681.522200387975,-4.116556091731586,0.060689083057623876,-4.255474329339569
47,-0.14607403147389442,0.505210802207967,0.3673773175572421,0.09385867011099336,0.1792584683867504,-0.058944223981257336,0.25251648982387265,-9681.026952220003,-4.211104842624911,0.06294717203192328,-4.263598150670395
48,0.0011516433544395883,0.56861145183716,0.29158009962370063,0.13880329788653098,0.16017180291631505,0.09075994471096913,0.25251648982387265,-9681.653708280592,-4.20885045156037,0.058054250039907856,-4.299795223909445
49,0.0014575789440620618,0.552323719694968,0.3122308421242116,0.13454058593499374,0.1634869043995707,0.08599258502597615,0.25251648982387265,-9681.560537655103,-4.2356007246252565,0.058858056997097445,-4.092259060058507
50,0.001361077131789924,0.522695573503848,0.3413916089070807,0.13495658282352133,0.17062796927691737,0.07476593306785032,0.25251648982387265,-9681.601665851469,-4.138115847245733,0.06070913869567217,-4.057670229714248
51,0.0015124147778742833,0.5014595662025632,0.3658129519172997,0.13180341000544737,0.17696907393870698,0.062403857246690994,0.25251648982387265,-9681.64588952313,-4.106233552423424,0.062437668970405855,-4.22267438461539
52,0.0011936197074458336,0.5263902901143984,0.3518702688331991,0.12076801646226018,0.17073637151564916,0.07501298029485207,0.25251648982387265,-9681.86519246595,-4.175652140601742,0.06074878890622099,-4.385292250460452
53,-0.1616719507008847,0.5505727331986069,0.35846887776295466,0.05408577998195764,0.16804737057590802,0.0809689172487878,0.25251648982387265,-9681.368029207968,-4.289331440342022,0.05995366193849976,-4.289682111924238
54,-0.17748192802268994,0.5199944662463445,0.3898707863204795,0.04980479439300618,0.17622224403626424,-0.06594402773986796,0.25251648982387265,-9681.126448145915,-4.26127636594046,0.06211198742117798,-4.271079624003495
55,-0.16431337824827602,0.5751550905428529,0.349736279545665,0.03764133138646345,0.16067914703269515,0.09047359781577231,0.25251648982387265,-9680.84626651405,-4.261342558425702,0.058072851163563435,-4.398222041933251
56,-0.18399253560890627,0.5351282627106779,0.3856796641676815,0.037448343316851235,0.1707082221953964,-0.07522246913615421,0.25251648982387265,-9680.698405012181,-4.339522840287116,0.06059996228756154,-4.0225842355300205
57,-0.19183111318533647,0.5011802260221179,0.4064484246651837,0.04881373925115977,0.18311088037995485,0.049623899951609436,0.25251648982387265,-9681.332499713928,-4.157485045691994,0.06404498415441034,-4.216808402449151
58,-0.15929790084343629,0.6044016890535349,0.32703336689212725,0.032128753104660054,0.1536824111735654,-0.09817493529964924,0.25251648982387265,-9680.227969744737,-4.211525415446047,0.05638535573366929,-4.30695585864114
