iteration,b0,b1,b2,b3,q,loglik,predicted,var,actual
0,0.02144483045956265,0.5387199250325002,0.3836121568350032,0.022931519687273933,0.4909087684044742,-10003.14025215,-0.4293487419107407,0.2409974947128898,-0.8764780233116625
1,0.020508046450201284,0.5385471230302432,0.3839179339037749,0.023707910530494695,0.4911655959493232,-10003.565309421809,-0.5828259156601093,0.2412466625232184,-0.6913890649513041
2,0.021227050934493726,0.5376226572133664,0.38434699659390864,0.02422296951772357,0.4904337310740469,-10003.212992331335,-0.598515664953813,0.24052929050016078,-0.5841603180530447
3,0.021466786436280007,0.5385119470309757,0.38290737514186224,0.02456678841086075,0.49059434527255585,-10003.48058428397,-0.5977154196581179,0.24068769814300212,-0.317655632933634
4,0.022896293801973916,0.5400978185185266,0.38174056453104577,0.023123588162298425,0.49011528594653897,-10003.273448643025,-0.41607399010197965,0.24021685305734647,-0.5470357502199757
5,0.022754300621336446,0.5378350778938447,0.38651717163224225,0.020357472234049913,0.48984311378941425,-10002.871663829334,-0.5184609252626807,0.23995214467998482,-0.5346979846048283
6,0.02395927340101827,0.5365609977764253,0.38842184017590364,0.01910860617660001,0.4884171666129069,-10002.226359493283,-0.4795579014106574,0.23855586108503019,-0.7676911889944399
7,0.02013640886232429,0.5554208034436525,0.3700649567716575,0.020341985136208968,0.4859857052009646,-9998.46327989037,-0.5997609417127459,0.2361847323399198,-0.23816616661718581
8,0.023721397258584867,0.5529332103718507,0.3713513081912724,0.020316534554761324,0.4818526479619498,-9994.799146406835,-0.3193839486475185,0.23218503918466024,-1.0013642577107764
9,0.022291016507106548,0.5525765098168176,0.3709693492844912,0.02230728508462238,0.4826505065085562,-9995.886760841187,-0.7352889287097922,0.2329562539378704,-0.6086329937893675
10,0.023856079109819708,0.5532444560814024,0.36789924651069106,0.02392076956086968,0.48156991109819763,-9995.5647716356,-0.5586502828602845,0.2319142178781472,-0.9507975011398189
11,0.021902674504326543,0.5531455533368854,0.36881758480252214,0.02437702203785342,0.4820987650883811,-9995.332563748103,-0.7561525892622318,0.23242190034849008,0.08077608145846166
12,0.024948229720185913,0.551711667900314,0.36691651929647784,0.02532613209538296,0.4836025125728213,-9997.080796734668,-0.19914321595126638,0.23387610257562244,0.22540661185991026
13,0.026789975354667615,0.554848747604938,0.3609383181278484,0.027089403397085876,0.4837027997086749,-9997.534092386895,-0.08442891934698343,0.23397234143363974,-0.25333980754888635
14,0.026947662945885388,0.5547052882396288,0.3575796539063688,0.03089299377073965,0.4832127450847799,-9997.551524281085,-0.24162091271327582,0.23349936984616046,-0.6257652451340099
15,0.025649307943083698,0.5533536137687345,0.35727076569788674,0.03362257744026327,0.48347473880195735,-9997.57693372937,-0.41864357398065816,0.23375389894631451,-0.05391905974673643
16,0.026710811874788694,0.5528148419408782,0.35614677779703247,0.03444245883358647,0.4841534200038342,-9998.08787122657,-0.0734313412363386,0.2344175996325936,0.3653249331794287
17,0.029137577134237237,0.554246287450348,0.3522709202892749,0.03544621916097533,0.48365388160368716,-9998.366493231944,0.1503778806345967,0.23392906586588708,0.020627145131045705
18,0.028500999891614642,0.5538922849584036,0.3497483792426709,0.03884820203109934,0.4840767344446575,-9998.46539714066,-0.028173360048603623,0.23433464925975192,-0.11393422845125152
19,0.028847755298025232,0.5552025413892065,0.3444238358203247,0.042959942944014944,0.4834035626720317,-9998.290391401917,-0.0816234253608006,0.23368386004178968,-0.24974223953186125
20,0.02710715723327599,0.5529461567897955,0.3467884683439748,0.044187322984240635,0.48345675722565257,-9997.276890522806,-0.11603697298372607,0.23373876114391454,-0.30542843443129164
21,0.027309779377672944,0.5551073887934781,0.34064232012497225,0.04872376993689615,0.4817083465824934,-9996.448058776588,-0.16413996956054092,0.2320465373976678,-0.3260560158957456
22,0.025364704940067283,0.5485155409399481,0.3492966380886514,0.047933953436362815,0.4808581266970963,-9994.113276145628,-0.23091374780097704,0.23122759154656522,-0.5050929420304483
