iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,0.0002002900328620038,0.7846866111099852,0.1179207925637448,0.09605875450041118,0.19919578622135287,0.1525605302785415,-9705.530626311604,-3.9892195528318855,0.04981923035535659,-3.917193261653591
1,-0.13482163030231867,0.7706055846043696,0.12394783076203608,0.07486214205802127,0.2005530518868408,0.1506157362740178,-9703.95705468443,-3.9596741433945026,0.0498403902548576,-3.6708626804339657
2,-0.1296327349160251,0.7616915582135801,0.1326973901926249,0.07610304860328013,0.20330432563053677,0.1484941502587771,-9704.084570061079,-3.808276463000752,0.05061280557650116,-3.755616407460903
3,0.0021864578919587735,0.7604750655360917,0.14060628256362365,0.09799880370468472,0.20661833732228355,0.14558669741983227,-9704.499214313579,-3.7825483394318766,0.05176802424199302,-3.7995661903279063
4,0.00034369031670107987,0.7593342402484442,0.14160324731678903,0.09767236684835295,0.2062819466723675,0.145439010123346,-9704.108121779333,-3.8032163797625684,0.05158355214544341,-3.847134222208966
5,-0.1304723616309218,0.7537857473658579,0.1395059100768694,0.07704102575063651,0.20660320455079684,0.14472155315555457,-9702.967121535574,-3.856448295287354,0.05150239809332552,-3.6245964818056184
6,0.0004340669941967654,0.7682773494933635,0.13158413305072572,0.09882128746616944,0.20502951709795886,0.14678484399622246,-9704.367061528745,-3.7117606245659656,0.051360966549446524,-3.8929085811393453
7,-0.12308491530391102,0.7809146240593743,0.1136993265530401,0.07727438088511951,0.19829616021084934,0.15190749647973067,-9702.802767123036,-3.855698621280688,0.049246370980473846,-3.8861697062462754
8,-0.12491770117914149,0.7749965301013269,0.11798490724319939,0.0784382790477008,0.19935723528143445,0.150634071440178,-9702.450468332152,-3.8837150841986796,0.049429486120389055,-3.8206142727666164
9,0.0003806970320802827,0.7843062875056606,0.11471952986003002,0.0996172952811385,0.1987546623539559,0.1515474521653379,-9703.34227810954,-3.831538334505502,0.04950998894600887,-3.509783026391721
10,0.00046349526014173104,0.7789156414022718,0.11933505108475784,0.10031059251107055,0.2005255255107091,0.15045096526071627,-9703.98536056447,-3.6565269334978603,0.05002532874942672,-3.6625001310344762
11,0.00043311315748422786,0.7832759197444936,0.11428773358509875,0.10099984867503561,0.19934396706924276,0.15147281642462318,-9704.005695292886,-3.6924575482121638,0.04972289926490431,-3.821917093103732
12,0.00041555205399036927,0.7831046087986959,0.11240709435961829,0.10302922082823787,0.19901941063427886,0.1516044854578344,-9703.952333887872,-3.782744875417433,0.049587760597539825,-3.7763842868967377
13,0.0003519384513671474,0.7854467920810555,0.10931766356680442,0.1038185197994165,0.19929461868946183,0.15134448961744462,-9703.840096064081,-3.778687697390121,0.04972962560236682,-3.732500550184651
14,0.0003024577806636263,0.7897306929094431,0.10434320512539219,0.1043917939212491,0.19675589014818187,0.15283971788275957,-9703.127111359263,-3.75295015818613,0.04890631431359241,-3.8853546549235873
15,0.0005416619997639506,0.7904447243287924,0.10138904104168152,0.10669870050065829,0.19638853645822857,0.15311251566385153,-9703.115996292901,-3.830586425591351,0.048788614363220795,-3.961936496266127
16,0.0005639753243089304,0.783016448550523,0.10978618321814707,0.10583909870363709,0.1990103261894931,0.15093580597717843,-9702.820643545807,-3.8940532960392598,0.04950651338868552,-4.002828732024402
17,0.0008946918170146723,0.7709950257600469,0.12253462713111854,0.10521516796002248,0.2022517273475139,0.14808698304053347,-9702.704422864374,-3.9343009071475037,0.05033611976551831,-4.03897317988997
18,-0.1334117677945618,0.7419287367116447,0.14164824280535887,0.08574432700527891,0.20835030328566717,0.14067840765677675,-9700.504186556645,-3.9938900082858626,0.05161508844843426,-3.8806901859839913
19,-0.1349768914815092,0.7296792358124768,0.1645249004354325,0.07494679363261078,0.20969585210343172,0.13852348375744672,-9697.842038603769,-3.9246948256731504,0.051801617209157415,-3.917714922460318
20,-0.135040807152949,0.7373949906426154,0.15961395944765738,0.07229691134073593,0.20828794095686787,0.1390829562170633,-9696.520502108157,-3.9326886188030277,0.051394728351489435,-4.05596049270324
21,-0.13797458127403456,0.7355841826970728,0.1608293770932334,0.07222270151654342,0.2087958551314603,0.13844162681805877,-9696.41917908206,-4.0088531184519045,0.051520433207144424,-4.105831233247292
22,-0.14394080913723845,0.7240841654799284,0.17140635732778986,0.0719346875887002,0.21324572128353872,0.13350074378068238,-9696.156117761158,-4.0545664867663005,0.05280966650268854,-4.045483936603324
23,5.054369445138703e-06,0.7377893039056829,0.16363458694274075,0.09727956287531603,0.21109430350691633,0.13429346106675927,-9695.202276177317,-4.004648973410793,0.05220820269807901,-4.243152475574314
24,-0.14650288155242697,0.7355659824983591,0.16197349327847188,0.06929734061365567,0.20997849353897946,0.1348866946959778,-9693.678416767914,-4.146543352575613,0.051715095410794984,-3.776485785567844
25,-0.13986885448402556,0.7330101204723118,0.1626046898497327,0.07262424448725283,0.21144670439055946,0.13389077971678998,-9694.458483705297,-3.9186509553895785,0.052214497519800035,-4.192938988482348
26,0.0006117888446797628,0.7532811581717729,0.15254769484162362,0.09311651660319811,0.2063723104082612,0.13894613185776533,-9694.941135218554,-4.071735731176782,0.05089683683334204,-3.977078047464958
27,-0.1409741541929277,0.7434627780525005,0.15446247823971343,0.07002722444689116,0.2075676265334861,0.13720484270896438,-9693.562090702386,-4.01897720491067,0.051029104768680056,-3.746727462691544
28,-0.13707817383668922,0.7390275705483078,0.1574321573411946,0.07214029705779115,0.20853580398011934,0.1358895748463925,-9693.409951647249,-3.872741729797754,0.051240988770888354,-3.789576376918442
29,0.00048401882094457026,0.753971999187001,0.14994160402760648,0.09486702810589,0.20722956375637547,0.1377538304459578,-9694.760789458307,-3.8287438092362884,0.051161225757120274,-4.038347523439791
30,0.000440095198040638,0.7569745447721472,0.14692638535227381,0.09494833907568245,0.20670405984676515,0.138569418980107,-9695.23147929489,-3.960441224109267,0.05107002010574027,-4.054066208207621
31,0.0006388108747705848,0.7761815935053231,0.12850133574526856,0.0940734600724295,0.19935580376496514,0.14355355292226568,-9693.053988925378,-3.9942687417591785,0.04881582010011261,-4.013533278469857
32,0.0005751451274837039,0.7748683935054319,0.1291310757380487,0.09477147301916838,0.20003190889391453,0.14294934849166746,-9692.974865047448,-3.984898637350928,0.049011649086975424,-4.086924481309159
33,-0.13515253851257183,0.7768708754599616,0.1187832224662207,0.07332235062419029,0.19710852045393273,0.1450344928757495,-9691.628051482308,-4.053801712730308,0.047994181035072636,-4.189175809090489
34,0.00045183814090051086,0.7722978463598305,0.12946409295631833,0.09698382535659558,0.20011957905503203,0.14254239407380154,-9692.801340518225,-4.104774715846875,0.04894918998513112,-4.187924150781225
35,-0.14119069198585738,0.7649881907871664,0.12767806161760883,0.0750367081543662,0.20132712411932002,0.14077378491805775,-9690.98543593884,-4.150428301270439,0.04910183829093537,-4.363389308293496
36,0.00041659996447141693,0.7722267019488778,0.1259687170432256,0.10061771637706832,0.20142246979016343,0.14048470941691082,-9692.031511907822,-4.237240980740013,0.0492878459191455,-4.461443233753627
37,-0.15515306589618388,0.738097956801548,0.14866524563172182,0.07799544012023304,0.212269278012029,0.12799387673786797,-9689.100964983558,-4.349354144386587,0.05211205398413832,-4.113808985632365
38,-0.15132596391446573,0.7417519435814057,0.14271365304739975,0.08085929429152064,0.20884354117785514,0.12975963668243734,-9687.33882860731,-4.17865846055014,0.050839579440637654,-3.9158561860823227
39,0.00011824302763889498,0.747501803356686,0.14386520750987813,0.10730368916285035,0.2102485751039683,0.12933531308529167,-9688.981613708938,-4.01392506889406,0.05153506266150816,-3.8694525871410446
40,-0.001042424542163412,0.7349964949634047,0.15475408579455516,0.1087645994231553,0.21673666588977364,0.12133143541018244,-9687.755822258909,-3.954371191746531,0.053452539571746525,-4.009718992504436
41,0.0014234529606269842,0.7589454714456141,0.13236187813498645,0.10766867580829659,0.20800354906103474,0.12996950696131304,-9686.748698287549,-4.007393107132515,0.05082504019003088,-4.253177940420134
42,0.000458750458052432,0.738376150176276,0.1501428805181843,0.11020838956907622,0.21313577423175006,0.1237690302958627,-9686.435871842716,-4.149693256513949,0.05213284770950741,-4.1297847058825115
43,0.000361662480849953,0.7319249361910831,0.1630594881331749,0.10391005401171077,0.21516237088663032,0.12065490672734992,-9684.32187372432,-4.105331192357694,0.05265972846872309,-3.8912308807170093
44,-0.15553393480376043,0.7179071484346724,0.16814421612294478,0.0783434758705064,0.21739685054387342,0.11749899526928989,-9683.127934084267,-3.984845569510958,0.05314425105182298,-4.106277425093346
45,-0.15802544080762954,0.7184077762250292,0.16787745331946288,0.07753851400542666,0.2167900995819707,0.11810295848947801,-9683.08894070184,-4.088479875434829,0.05293347866462461,-4.028885474130335
46,-0.158333163271007,0.7186054622851241,0.16873913090610476,0.07643244813523743,0.2172245453321584,0.11764872269825852,-9683.077719965422,-4.061287863960352,0.053092723569541644,-4.160219007693444
